date,time,temperature,humidity
12:15:27.228126,85.8,54.5
12:16:27.438337,85.8,54.5
13:00:22.799962,88.7,46.2
13:56:13.730035,91.8,38.3
13:57:15.778863,91.8,38.4
08/15/21,13:58:49,91.9,37.7
08/15/21,14:00:39,91.9,37.3
08/15/21,15:00:17,95.0,36.4
08/15/21,16:00:19,96.3,35.0
08/15/21,17:00:19,95.4,34.7
08/15/21,18:00:18,93.4,35.6
08/15/21,19:00:17,88.7,38.6
08/15/21,20:00:21,82.6,45.1
08/15/21,21:00:34,77.0,51.7
08/15/21,22:00:24,74.1,58.6
08/15/21,23:00:23,71.4,65.0
08/16/21,00:00:35,67.8,78.2
08/16/21,01:00:15,66.2,81.9
08/16/21,02:00:15,64.0,86.5
08/16/21,03:00:26,62.6,89.7
08/16/21,04:00:37,61.5,90.9
08/16/21,05:00:37,60.8,91.8
08/16/21,06:00:18,60.3,91.7
08/16/21,07:00:19,60.4,91.8
08/16/21,08:00:19,61.9,90.6
08/16/21,09:00:16,64.4,86.3
08/16/21,10:00:22,67.3,78.3
08/16/21,11:00:21,77.0,58.4
08/16/21,12:00:21,79.3,55.6
08/16/21,13:00:19,82.4,49.0
08/16/21,14:00:22,83.8,45.2
08/16/21,15:00:21,87.4,36.6
08/16/21,16:00:19,85.8,40.7
08/16/21,17:00:16,86.0,32.2
08/16/21,18:00:19,82.9,37.6
08/16/21,19:00:32,76.8,51.1
08/16/21,20:00:16,71.6,64.7
08/16/21,21:00:16,70.0,70.6
08/16/21,22:00:15,68.0,78.2
08/16/21,23:00:16,66.7,81.6
08/17/21,01:00:21,63.7,67.8
08/17/21,02:00:15,62.2,67.1
08/17/21,03:00:15,61.2,72.5
08/17/21,04:00:22,61.5,78.0
08/17/21,05:00:47,60.1,86.5
08/17/21,06:00:16,59.4,89.8
08/17/21,07:00:21,59.9,89.2
08/17/21,08:00:21,61.0,83.9
08/17/21,09:00:21,62.4,80.0
08/17/21,10:00:17,65.3,72.2
08/17/21,11:00:19,65.8,71.0
08/17/21,12:00:16,68.4,62.4
08/17/21,13:00:15,68.2,62.4
08/17/21,14:00:18,70.3,56.6
08/17/21,15:00:18,72.5,52.0
08/17/21,16:00:21,74.1,48.4
08/17/21,17:00:16,73.2,46.9
08/17/21,18:00:34,72.3,46.9
08/17/21,19:00:21,71.1,52.4
08/17/21,20:00:21,70.0,54.2
08/17/21,21:00:21,67.6,65.3
08/17/21,22:00:21,65.7,71.6
08/17/21,23:00:44,63.0,81.2
08/18/21,00:00:42,61.2,85.9
